,X,Y,GDD_2P67,inside_pol,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,648341.0,5899886.68453892,13.12,0.0,0,8,8,8,9,11,13,13,11,9,5,1,-1,-1,2,7,13,17,19,19,18,17,17,19,19,20,18,17,15,15,15,16,17,17,16,14,12,10,9,10,12,13,12,10,9,8,8,8,8,8,8,8,8,7,6,6,6,7,9,11,14,15,15,14,12,11,11,12,12,11,9,9,10,12,15,17,17,16,14,14,14,15,17,20,22,24,24,23,21,20,19,19,19,19,20,20,20,19,17,14,12
1,650841.0,5899886.68453892,13.2,0.0,0,8,8,7,6,6,6,7,9,11,14,15,15,14,12,11,11,12,12,11,9,9,10,12,15,17,17,16,14,14,14,15,17,20,22,24,24,23,21,20,19,19,19,19,20,20,20,19,17,14,12,11,10,10,12,14,16,16,16,14,12,9,8,7,7,9,11,14,17,18,16,14,12,11,12,12,13,13,13,13,13,14,14,14,14,13,13,13,13,12,11,10,9,9,9,9,9,9,9,9,8
2,653341.0,5899886.68453892,11.05,0.0,0,11,10,10,12,14,16,16,16,14,12,9,8,7,7,9,11,14,17,18,16,14,12,11,12,12,13,13,13,13,13,14,14,14,14,13,13,13,13,12,11,10,9,9,9,9,9,9,9,9,8,8,8,8,9,8,7,6,6,6,8,9,9,7,6,7,8,11,11,10,8,7,8,10,12,12,12,11,12,13,14,13,13,12,12,12,12,11,9,8,9,11,12,14,13,13,12,13,13,14,14
3,655841.0,5899886.68453892,9.71,0.0,0,8,8,8,9,8,7,6,6,6,8,9,9,7,6,7,8,11,11,10,8,7,8,10,12,12,12,11,12,13,14,13,13,12,12,12,12,11,9,8,9,11,12,14,13,13,12,13,13,14,14,14,14,13,10,7,4,4,7,10,13,15,14,13,11,10,9,10,11,12,12,11,10,10,10,11,12,12,13,13,13,13,11,9,7,4,2,1,0,0,0,1,3,5,7,9,11,13,14,13,9
4,652815.5,5899908.1845389195,9.53,0.0,0,14,14,13,10,7,4,4,7,10,13,15,14,13,11,10,9,10,11,12,12,11,10,10,10,11,12,12,13,13,13,13,11,9,7,4,2,1,0,0,0,1,3,5,7,9,11,13,14,13,9,6,3,2,1,0,-1,-1,7,7,7,8,10,12,12,11,8,5,2,0,1,4,9,15,19,20,20,18,17,16,16,16,17,16,15,14,13,13,14,14,13,12,10,8,7,7,8,9,11,11,11
5,648890.5,5899933.1845389195,11.36,0.0,0,6,3,2,1,0,-1,-1,7,7,7,8,10,12,12,11,8,5,2,0,1,4,9,15,19,20,20,18,17,16,16,16,17,16,15,14,13,13,14,14,13,12,10,8,7,7,8,9,11,11,11,10,10,10,11,10,9,7,6,6,5,4,3,4,6,9,12,14,15,15,13,11,10,10,10,10,9,7,7,8,11,14,17,17,17,15,14,14,15,17,19,21,23,24,23,22,21,20,20,19,19
6,650491.0,5899936.68453892,12.5,0.0,0,10,10,10,11,10,9,7,6,6,5,4,3,4,6,9,12,14,15,15,13,11,10,10,10,10,9,7,7,8,11,14,17,17,17,15,14,14,15,17,19,21,23,24,23,22,21,20,20,19,19,19,19,19,18,16,15,13,11,10,10,11,12,13,14,13,12,10,8,6,5,5,6,9,12,15,17,16,14,12,11,11,12,12,11,10,10,11,12,12,13,13,13,13,13,13,12,12,11,11,11
7,652991.0,5899936.68453892,10.64,0.0,0,19,19,19,18,16,15,13,11,10,10,11,12,13,14,13,12,10,8,6,5,5,6,9,12,15,17,16,14,12,11,11,12,12,11,10,10,11,12,12,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10,10,9,8,8,9,8,7,6,6,6,8,9,9,8,6,6,8,10,11,10,9,8,9,11,12,11,10,10,10,12,12,12,12,11,11,11,10,8,6,5,5,7,10,12
8,655491.0,5899936.68453892,9.38,0.0,0,11,10,10,10,10,10,10,9,8,8,9,8,7,6,6,6,8,9,9,8,6,6,8,10,11,10,9,8,9,11,12,11,10,10,10,12,12,12,12,11,11,11,10,8,6,5,5,7,10,12,12,11,11,11,12,12,13,13,13,12,10,7,4,4,7,11,14,16,15,14,12,11,11,12,14,15,15,14,13,12,12,12,13,13,13,13,12,11,9,7,5,3,1,0,-1,-1,-1,1,3,5
9,653365.0,5899954.6845389195,9.7,0.0,0,12,11,11,11,12,12,13,13,13,12,10,7,4,4,7,11,14,16,15,14,12,11,11,12,14,15,15,14,13,12,12,12,13,13,13,13,12,11,9,7,5,3,1,0,-1,-1,-1,1,3,5,7,8,10,12,14,13,11,8,6,4,2,0,-1,-1,7,7,7,8,9,10,10,9,8,6,4,4,5,8,12,17,20,21,20,19,17,15,14,14,14,14,13,12,12,11,11,10,9,8,6,5
